Provinsi,2020,2021,2022,2023,2024
Aceh,814.91,834.24,806.82,806.75,804.53
Sumatera Utara,"1,283.29","1,343.86","1,268.19","1,239.71","1,228.01"
Sumatera Barat,344.23,370.67,335.21,340.37,345.73
Riau,483.39,500.81,485.03,485.66,492.25
Jambi,277.80,293.86,279.37,280.68,265.42
Sumatera Selatan,"1,081.58","1,113.76","1,044.69","1,045.68",984.24
Bengkulu,302.58,306.00,297.23,288.46,281.36
Lampung,"1,049.32","1,083.93","1,002.41",970.67,941.23
Kep. Bangka Belitung,68.39,72.71,66.78,68.69,69.95
Kepulauan Riau,131.97,144.46,151.68,142.50,138.30
DKI Jakarta,480.86,501.92,502.04,477.83,464.93
Jawa Barat,"3,920.23","4,195.34","4,070.98","3,888.60","3,848.67"
Jawa Tengah,"3,980.90","4,109.75","3,831.44","3,791.50","3,704.33"
DI Yogyakarta,475.72,506.45,454.76,448.47,445.55
Jawa Timur,"4,419.10","4,572.73","4,181.29","4,188.81","3,982.69"
Banten,775.99,867.23,814.02,826.13,791.61
Bali,165.19,201.97,205.68,193.78,184.43
Nusa Tenggara Barat,713.89,746.66,731.94,751.23,709.01
Nusa Tenggara Timur,"1,153.76","1,169.31","1,131.62","1,141.11","1,127.57"
Kalimantan Barat,366.77,367.89,350.25,353.35,336.08
Kalimantan Tengah,132.94,140.04,145.10,142.17,145.63
Kalimantan Selatan,187.87,208.11,195.70,188.93,183.31
Kalimantan Timur,230.26,241.77,236.25,231.07,221.34
Kalimantan Utara,51.79,52.86,49.46,47.97,47.83
Sulawesi Utara,192.37,196.35,185.14,189.00,186.85
Sulawesi Tengah,398.73,404.44,388.35,395.66,379.76
Sulawesi Selatan,776.83,784.98,777.44,788.85,736.48
Sulawesi Tenggara,301.82,318.70,309.79,321.53,319.71
Gorontalo,185.02,186.29,185.44,183.71,177.99
Sulawesi Barat,152.02,157.19,165.72,164.14,162.19
Maluku,318.18,321.81,290.57,301.61,297.68
Maluku Utara,86.37,87.16,79.87,83.80,83.09
Papua Barat,208.58,219.07,218.78,214.98,110.16
Papua Barat Daya,-,-,-,-,-
Papua,911.37,920.44,922.12,915.15,152.91
Papua Selatan,-,-,-,-,-
Papua Tengah,-,-,-,-,-
Papua Pegunungan,-,-,-,-,-
Indonesia,"26,424.02","27,542.77","26,161.16","25,898.55","25,219.20"
